Title,Series,Synopsis,URL,Genre,Category,Availability,Duration,Date,Column,Row,Box_Set,Channel,Box_Yes,Box_No,Title_Synopsis,Pid,episodeID,programmeID,seriesID,Is_Live,Is_Live_Yes,Is_Live_No,Actual_Genre
Doctor Who: Flux,Flux,New episodes every Sunday,https://www.bbc.co.uk/iplayer/episodes/b006q2x0/doctor-who?seriesId=m00116r6,Sci-Fi,Drama,,,31/10/2021,1,6,yes,BBC One,1,0,Doctor Who: Flux -- New episodes every Sunday,b006q2x0,,b006q2x0,m00116r6,no,0,1,DRAMA > SCIFI & FANTASY
Bump,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tw2x1/bump?seriesId=p09tw2yj,Comedy Drama,Drama,,,31/10/2021,2,6,yes,BBC One,1,0,Bump -- All episodes available now,p09tw2x1,,p09tw2x1,p09tw2yj,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
Paris Police 1900,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09tqj2t/paris-police-1900?seriesId=p09tqj5v,Crime Drama,Drama,,,31/10/2021,3,6,yes,BBC Four,1,0,Paris Police 1900 -- All episodes available now,p09tqj2t,,p09tqj2t,p09tqj5v,no,0,1,"DRAMA > CRIME,DRAMA > CLASSIC & PERIOD"
Impeachment: American Crime Story,American Crime Story,The scandal is not the story,https://www.bbc.co.uk/iplayer/episodes/m0010x44/impeachment-american-crime-story?seriesId=m0010t8q,Crime Drama,Drama,,,31/10/2021,4,6,yes,BBC Two,1,0,Impeachment: American Crime Story -- The scandal is not the story,m0010x44,,m0010x44,m0010t8q,no,0,1,"DRAMA,DRAMA > CRIME"
Ridley Road,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09vc7k4/ridley-road?seriesId=p09vc7mq,Drama,Drama,,,31/10/2021,5,6,yes,BBC One,1,0,Ridley Road -- All episodes available now,p09vc7k4,,p09vc7k4,p09vc7mq,no,0,1,"DRAMA,DRAMA > CLASSIC & PERIOD"
The Trick,,The crime that stole a decade,https://www.bbc.co.uk/iplayer/episode/m0010s10/the-trick,Drama,Drama,Available for 11 months,89 mins,31/10/2021,6,6,no,BBC One,0,1,The Trick -- The crime that stole a decade,m0010s10,,m0010s10,,no,0,1,DRAMA
Guilt: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/m0009qm4/guilt?seriesId=m0010lbl,Crime Drama,Drama,,,31/10/2021,7,6,yes,BBC Scotland,1,0,Guilt: Series 2 -- All episodes available now,m0009qm4,,m0009qm4,m0010lbl,no,0,1,"DRAMA,DRAMA > CRIME"
Shetland,,Detective Jimmy Perez returns home,https://www.bbc.co.uk/iplayer/episodes/p01s711r/shetland?seriesId=m0010sc2,Crime Drama,Drama,,,31/10/2021,8,6,yes,BBC One,1,0,Shetland -- Detective Jimmy Perez returns home,p01s711r,,p01s711r,m0010sc2,no,0,1,DRAMA > CRIME
Middlemarch,,The much-acclaimed adaptation of a classic novel,https://www.bbc.co.uk/iplayer/episodes/p00tckx3/middlemarch,Period Drama,Drama,,,31/10/2021,9,6,yes,BBC Two,1,0,Middlemarch -- The much-acclaimed adaptation of a classic novel,p00tckx3,,p00tckx3,,no,0,1,DRAMA > CLASSIC & PERIOD
Small Axe,,Mangrove. Directed by Steve McQueen,https://www.bbc.co.uk/iplayer/episode/p08vy19b/small-axe-series-1-mangrove,Drama,Drama,Available for 1 month,127 mins,31/10/2021,10,6,no,BBC One,0,1,Small Axe -- Mangrove. Directed by Steve McQueen,p08vy19b,p08vy19b,p08vxt33,,no,0,1,"DRAMA,FILMS"
Gossip Girl,,The original series. XOXO,https://www.bbc.co.uk/iplayer/episodes/p09qs7tl/gossip-girl-200712?seriesId=p09qs87z,Drama,Drama,,,31/10/2021,11,6,yes,BBC One,1,0,Gossip Girl -- The original series. XOXO,p09qs7tl,,p09qs7tl,p09qs87z,no,0,1,DRAMA > RELATIONSHIPS & ROMANCE
Vienna Blood,,To know criminals' minds you have to get close to murder,https://www.bbc.co.uk/iplayer/episodes/m000bhqj/vienna-blood?seriesId=m000bhqh,Crime Drama,Drama,,,31/10/2021,12,6,yes,BBC Two,1,0,Vienna Blood -- To know criminals' minds you have to get close to murder,m000bhqj,,m000bhqj,m000bhqh,no,0,1,DRAMA > CRIME
The Outlaws,,New episodes every week,https://www.bbc.co.uk/iplayer/episodes/m0010zy5/the-outlaws?seriesId=m0010zy3,Comedy,Comedy,,,31/10/2021,1,7,yes,BBC One,1,0,The Outlaws -- New episodes every week,m0010zy5,,m0010zy5,m0010zy3,no,0,1,"COMEDY,COMEDY > CHARACTER"
Defending the Guilty: Series 1,Series 1,Has Will got what it takes?,https://www.bbc.co.uk/iplayer/episodes/b0bllmjg/defending-the-guilty,Comedy,Comedy,,,31/10/2021,2,7,yes,BBC Two,1,0,Defending the Guilty: Series 1 -- Has Will got what it takes?,b0bllmjg,,b0bllmjg,,no,0,1,COMEDY > CHARACTER
Mrs Brown's Boys Live,,"It's Halloween, and Agnes gets a fright",https://www.bbc.co.uk/iplayer/episode/m0011144/mrs-browns-boys-mrs-browns-boys-live-10-year-anniversary,Comedy,Comedy,Available for over a year,30 mins,31/10/2021,3,7,no,BBC One,0,1,"Mrs Brown's Boys Live -- It's Halloween, and Agnes gets a fright",m0011144,m0011144,b00x98tn,,no,0,1,COMEDY > SITCOMS
Awkwafina Is Nora From Queens: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p08q5tx3/awkwafina-is-nora-from-queens?seriesId=p09xssyz,Comedy,Comedy,,,31/10/2021,4,7,yes,BBC Three,1,0,Awkwafina Is Nora From Queens: Series 2 -- All episodes available now,p08q5tx3,,p08q5tx3,p09xssyz,no,0,1,COMEDY > CHARACTER
Dave: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p08b9fpl/dave?seriesId=p09pcjwp,Comedy,Comedy,,,31/10/2021,5,7,yes,BBC Two,1,0,Dave: Series 2 -- All episodes available now,p08b9fpl,,p08b9fpl,p09pcjwp,no,0,1,COMEDY > SITCOMS
The Cleaner,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09pm359/the-cleaner?seriesId=p09pm37c,Comedy,Comedy,,,31/10/2021,6,7,yes,BBC One,1,0,The Cleaner -- All episodes available now,p09pm359,,p09pm359,p09pm37c,no,0,1,"COMEDY,COMEDY > SITCOMS"
The Goes Wrong Show: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/m000csgs/the-goes-wrong-show,Comedy,Comedy,,,31/10/2021,7,7,yes,BBC One,1,0,The Goes Wrong Show: Series 2 -- All episodes available now,m000csgs,,m000csgs,,no,0,1,"ENTERTAINMENT,COMEDY"
The Young Offenders,,Awkward eejits,https://www.bbc.co.uk/iplayer/episodes/p05v9qqg/the-young-offenders?seriesId=p05v9r4v,Comedy,Comedy,,,31/10/2021,8,7,yes,BBC Three,1,0,The Young Offenders -- Awkward eejits,p05v9qqg,,p05v9qqg,p05v9r4v,no,0,1,COMEDY
Back to Life: Series 2,Series 2,New series available now,https://www.bbc.co.uk/iplayer/episodes/p0757vxm/back-to-life?seriesId=p09sj1nx,Comedy Drama,Comedy,,,31/10/2021,9,7,yes,BBC Three,1,0,Back to Life: Series 2 -- New series available now,p0757vxm,,p0757vxm,p09sj1nx,no,0,1,"COMEDY > CHARACTER,DRAMA > PSYCHOLOGICAL"
Alma's Not Normal,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09r3q71/almas-not-normal?seriesId=p09r3q9l,Comedy,Comedy,,,31/10/2021,10,7,yes,BBC Two,1,0,Alma's Not Normal -- All episodes available now,p09r3q71,,p09r3q71,p09r3q9l,no,0,1,COMEDY > SITCOMS
BBC New Comedy Awards,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/b00z66p7/bbc-new-comedy-awards,Comedy,Comedy,,,31/10/2021,11,7,yes,BBC Three,1,0,BBC New Comedy Awards -- All episodes available now,b00z66p7,,b00z66p7,,no,0,1,COMEDY > STANDUP
Starstruck,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09djx02/starstruck?seriesId=p09djx40,Comedy,Comedy,,,31/10/2021,12,7,yes,BBC Three,1,0,Starstruck -- All episodes available now,p09djx02,,p09djx02,p09djx40,no,0,1,COMEDY > CHARACTER
Angels of the North: Big Tyne,Big Tyne,Big hair... and beyond,https://www.bbc.co.uk/iplayer/episodes/p07vbq9r/angels-of-the-north?seriesId=p09y9dps,Reality,Entertainment,,,31/10/2021,1,8,yes,BBC Three,1,0,Angels of the North: Big Tyne -- Big hair... and beyond,p07vbq9r,,p07vbq9r,p09y9dps,no,0,1,"ENTERTAINMENT,REALITY,FACTUAL > BEAUTY & STYLE"
The Ranganation,,The week’s news reviewed by Romesh... and his mum,https://www.bbc.co.uk/iplayer/episodes/m0005bq9/the-ranganation,Comedy,Entertainment,,,31/10/2021,2,8,yes,BBC Two,1,0,The Ranganation -- The week’s news reviewed by Romesh... and his mum,m0005bq9,,m0005bq9,,no,0,1,"ENTERTAINMENT,COMEDY"
Strictly Come Dancing,,Week 1. The couples dance live for the first time,https://www.bbc.co.uk/iplayer/episode/m00103y4/strictly-come-dancing-series-19-week-1,Entertainment,Entertainment,Available for over a year,141 mins,31/10/2021,3,8,no,BBC One,0,1,Strictly Come Dancing -- Week 1. The couples dance live for the first time,m00103y4,m00103y4,b006m8dq,,no,0,1,"ENTERTAINMENT,TALENT SHOWS"
RuPaul's Drag Race UK,,New episodes every Thursday,https://www.bbc.co.uk/iplayer/episodes/p07kt8b4/rupauls-drag-race-uk?seriesId=p09vc1rh,Entertainment,Entertainment,,,31/10/2021,4,8,yes,BBC Three,1,0,RuPaul's Drag Race UK -- New episodes every Thursday,p07kt8b4,,p07kt8b4,p09vc1rh,no,0,1,"ENTERTAINMENT,TALENT SHOWS"
I Like the Way U Move,,"Dating, dance, reality and romance",https://www.bbc.co.uk/iplayer/episodes/p09xhxsc/i-like-the-way-u-move,Entertainment,Entertainment,,,31/10/2021,5,8,yes,BBC Three,1,0,"I Like the Way U Move -- Dating, dance, reality and romance",p09xhxsc,,p09xhxsc,,no,0,1,"ENTERTAINMENT,REALITY,TALENT SHOWS"
Match of the Day,,30/10/2021: With Spurs v Man Utd,https://www.bbc.co.uk/iplayer/episode/m00116q2/match-of-the-day-202122-30102021,Sport,Entertainment,Available for 6 days,85 mins,31/10/2021,6,8,no,BBC One,0,1,Match of the Day -- 30/10/2021: With Spurs v Man Utd,m00116q2,m00116q2,b007t9y1,,no,0,1,SPORT > FOOTBALL
The Graham Norton Show,,With Dame Judi Dench,https://www.bbc.co.uk/iplayer/episode/m001114b/the-graham-norton-show-series-29-episode-6,Entertainment,Entertainment,Available for over a year,50 mins,31/10/2021,7,8,no,BBC One,0,1,The Graham Norton Show -- With Dame Judi Dench,m001114b,m001114b,b006xnzc,,no,0,1,ENTERTAINMENT
Have I Got News for You,,Bill Bailey guest hosts,https://www.bbc.co.uk/iplayer/episode/m0011142/have-i-got-news-for-you-series-62-episode-4,Comedy,Entertainment,Available for 27 days,29 mins,31/10/2021,8,8,no,BBC One,0,1,Have I Got News for You -- Bill Bailey guest hosts,m0011142,m0011142,b006mkw3,,no,0,1,"GAMES & QUIZZES,COMEDY > SATIRE"
The Repair Shop,,Reuniting the broken pieces of an engagement ring,https://www.bbc.co.uk/iplayer/episode/m000vcls/the-repair-shop-series-8-episode-1,Lifestyle,Entertainment,Available for over a year,58 mins,31/10/2021,9,8,no,BBC One,0,1,The Repair Shop -- Reuniting the broken pieces of an engagement ring,m000vcls,m000vcls,b08l581p,,no,0,1,FACTUAL > ANTIQUES
QI,,A well sick episode,https://www.bbc.co.uk/iplayer/episode/m000zhgm/qi-series-s-1-sick,Comedy,Entertainment,Available for 11 months,29 mins,31/10/2021,10,8,no,BBC Two,0,1,QI -- A well sick episode,m000zhgm,m000zhgm,b006ml0g,,no,0,1,"ENTERTAINMENT,COMEDY,GAMES & QUIZZES"
The Hit List,,"With couples from Cardiff, Derry and Northampton",https://www.bbc.co.uk/iplayer/episode/m0010b74/the-hit-list-series-4-episode-1,Entertainment,Entertainment,Available for over a year,44 mins,31/10/2021,11,8,no,BBC One,0,1,"The Hit List -- With couples from Cardiff, Derry and Northampton",m0010b74,m0010b74,m0005j3y,,no,0,1,"ENTERTAINMENT,GAMES & QUIZZES"
Blankety Blank,,Bradley Walsh hosts Britain's blank-iest game show,https://www.bbc.co.uk/iplayer/episode/m0010hyn/blankety-blank-series-1-episode-1,Entertainment,Entertainment,Available for over a year,33 mins,31/10/2021,12,8,no,BBC One,0,1,Blankety Blank -- Bradley Walsh hosts Britain's blank-iest game show,m0010hyn,m0010hyn,m0010b7c,,no,0,1,"ENTERTAINMENT,GAMES & QUIZZES"
I Am Greta,,The future belongs to those who fight for it,https://www.bbc.co.uk/iplayer/episode/p090xz9z/i-am-greta,Documentary Film,Our Planet Now,Available for over a year,90 mins,31/10/2021,1,9,no,BBC Three,0,1,I Am Greta -- The future belongs to those who fight for it,p090xz9z,,p090xz9z,,no,0,1,FACTUAL > LIFE STORIES
Climate Change - The Facts,,,https://www.bbc.co.uk/iplayer/episode/m00049b1/climate-change-the-facts,Nature,Our Planet Now,Available for 5 months,58 mins,31/10/2021,2,9,no,BBC One,0,1,Climate Change - The Facts -- ,m00049b1,,m00049b1,,no,0,1,"FACTUAL,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
Shop Well for the Planet?,,Save the planet – save money,https://www.bbc.co.uk/iplayer/episode/m0010k49/shop-well-for-the-planet-series-1-episode-1,Food,Our Planet Now,Available for 11 months,58 mins,31/10/2021,3,9,no,BBC One,0,1,Shop Well for the Planet? -- Save the planet – save money,m0010k49,m0010k49,m0010k4c,,no,0,1,"FACTUAL > CONSUMER,FACTUAL > FOOD & DRINK,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
Prince Charles and His Battle for Our Planet,,"Nature, people and the planet",https://www.bbc.co.uk/iplayer/episode/p09y7bzx/prince-charles-and-his-battle-for-our-planet,News,Our Planet Now,Available for 11 months,25 mins,31/10/2021,4,9,no,BBC World News,0,1,"Prince Charles and His Battle for Our Planet -- Nature, people and the planet",p09y7bzx,,p09y7bzx,,no,0,1,NEWS
Prince William does Newscast,,,https://www.bbc.co.uk/iplayer/episode/m0010k4p/prince-william-does-newscast,,Our Planet Now,Available for 13 days,29 mins,31/10/2021,5,9,no,BBC One,0,1,Prince William does Newscast -- ,m0010k4p,,m0010k4p,,no,0,1,FACTUAL
The Earthshot Prize: Repairing Our Planet,Repairing Our Planet,A moment for hope,https://www.bbc.co.uk/iplayer/episode/p09w81sc/the-earthshot-prize-repairing-our-planet-series-1-1-protect-restore-nature,Nature,Our Planet Now,Available for 11 months,58 mins,31/10/2021,6,9,no,BBC One,0,1,The Earthshot Prize: Repairing Our Planet -- A moment for hope,p09w81sc,p09w81sc,p09w80wb,,no,0,1,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT
Our Planet Now - Scotland Climate Change Special,,Making a difference,https://www.bbc.co.uk/iplayer/episode/m0010616/bbc-scotland-news-special-our-planet-now-scotland-climate-change-special,News,Our Planet Now,Available for 6 days,59 mins,31/10/2021,7,9,no,BBC One,0,1,Our Planet Now - Scotland Climate Change Special -- Making a difference,m000rp14,,m000rp14,,no,0,1,NEWS
Restoring the Earth: The Age of Nature,The Age of Nature,An awakening has begun,https://www.bbc.co.uk/iplayer/episodes/m0010b35/restoring-the-earth-the-age-of-nature,Nature,Our Planet Now,,,31/10/2021,8,9,yes,BBC Four,1,0,Restoring the Earth: The Age of Nature -- An awakening has begun,m0010b35,,m0010b35,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
Climate Change on Trial,,Putting Earth in peril?,https://www.bbc.co.uk/iplayer/episode/m0010yl3/climate-change-on-trial,Nature,Our Planet Now,Available for 11 months,23 mins,31/10/2021,9,9,no,BBC Two,0,1,Climate Change on Trial -- Putting Earth in peril?,m0010yl3,,m0010yl3,,no,0,1,"FACTUAL,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
A Perfect Planet,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p08xc2lh/a-perfect-planet,Nature,Our Planet Now,,,31/10/2021,10,9,yes,BBC One,1,0,A Perfect Planet -- All episodes available now,p08xc2lh,,p08xc2lh,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
The Mating Game,,David Attenborough explores spectacular seduction,https://www.bbc.co.uk/iplayer/episodes/m0010bc1/the-mating-game,Nature,Our Planet Now,,,31/10/2021,11,9,yes,BBC One,1,0,The Mating Game -- David Attenborough explores spectacular seduction,m0010bc1,,m0010bc1,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
Greta Thunberg: A Year to Change the World,A Year to Change the World,A mission to save the planet,https://www.bbc.co.uk/iplayer/episodes/p099f58d/greta-thunberg-a-year-to-change-the-world,Nature,Our Planet Now,,,31/10/2021,12,9,yes,BBC One,1,0,Greta Thunberg: A Year to Change the World -- A mission to save the planet,p099f58d,,p099f58d,,no,0,1,"DOCUMENTARIES,FACTUAL > SCIENCE & NATURE > NATURE & ENVIRONMENT"
The Watch,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p09jgmfb/the-watch?seriesId=p09jgmpj,Fantasy,Sci-fi & Fantasy,,,31/10/2021,1,10,yes,BBC Two,1,0,The Watch -- All episodes available now,p09jgmfb,,p09jgmfb,p09jgmpj,no,0,1,DRAMA > SCIFI & FANTASY
Missions,,A chance to discover a new world,https://www.bbc.co.uk/iplayer/episodes/b0b3964c/missions?seriesId=b0b3967r,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,2,10,yes,BBC Four,1,0,Missions -- A chance to discover a new world,b0b3964c,,b0b3964c,b0b3967r,no,0,1,DRAMA > SCIFI & FANTASY
Fort Salem: Series 2,Series 2,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p08kr4w1/fort-salem?seriesId=p09t262l,Drama,Sci-fi & Fantasy,,,31/10/2021,3,10,yes,BBC Three,1,0,Fort Salem: Series 2 -- All episodes available now,p08kr4w1,,p08kr4w1,p09t262l,no,0,1,DRAMA > SCIFI & FANTASY
Equals,,Emotions don't exist - unless you're switched on,https://www.bbc.co.uk/iplayer/episode/m000yhlk/equals,Film - Sci-Fi,Sci-fi & Fantasy,Available for over a year,92 mins,31/10/2021,4,10,no,BBC Two,0,1,Equals -- Emotions don't exist - unless you're switched on,m000yhlk,,m000yhlk,,no,0,1,"DRAMA,DRAMA > SCIFI & FANTASY"
Battlestar Galactica,,All episodes available now,https://www.bbc.co.uk/iplayer/episodes/p08kz1gc/battlestar-galactica?seriesId=p08kz1zp,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,5,10,yes,BBC Two,1,0,Battlestar Galactica -- All episodes available now,p08kz1gc,,p08kz1gc,p08kz1zp,no,0,1,DRAMA > SCIFI & FANTASY
Torchwood,,The incredible adventures of Captain Jack,https://www.bbc.co.uk/iplayer/episodes/b006m8ln/torchwood?seriesId=b006m8lq,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,6,10,yes,BBC Three,1,0,Torchwood -- The incredible adventures of Captain Jack,b006m8ln,,b006m8ln,b006m8lq,no,0,1,DRAMA > SCIFI & FANTASY
Every Day,,Every day a different life – but still in love,https://www.bbc.co.uk/iplayer/episode/m000xwhx/every-day,Film - Romance,Sci-fi & Fantasy,Available for 8 months,90 mins,31/10/2021,7,10,no,BBC Two,0,1,Every Day -- Every day a different life – but still in love,m000xwhx,,m000xwhx,,no,0,1,"DRAMA,DRAMA > RELATIONSHIPS & ROMANCE,DRAMA > SCIFI & FANTASY"
Doctor Who,,All of time and space awaits the Doctor,https://www.bbc.co.uk/iplayer/episodes/b006q2x0/doctor-who?seriesId=b007vvcq,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,8,10,yes,BBC One,1,0,Doctor Who -- All of time and space awaits the Doctor,b006q2x0,,b006q2x0,b007vvcq,no,0,1,DRAMA > SCIFI & FANTASY
Class,,Teaming up to take on the universe,https://www.bbc.co.uk/iplayer/episodes/p048h1bz/class?seriesId=p048h1kr,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,9,10,yes,BBC Three,1,0,Class -- Teaming up to take on the universe,p048h1bz,,p048h1bz,p048h1kr,no,0,1,DRAMA > SCIFI & FANTASY
Fort Salem,,Born witches. Made warriors.,https://www.bbc.co.uk/iplayer/episodes/p08kr4w1/fort-salem?seriesId=p08kr548,Drama,Sci-fi & Fantasy,,,31/10/2021,10,10,yes,BBC Three,1,0,Fort Salem -- Born witches. Made warriors.,p08kr4w1,,p08kr4w1,p08kr548,no,0,1,DRAMA > SCIFI & FANTASY
Life on Mars,,Take a look at the lawman...,https://www.bbc.co.uk/iplayer/episodes/b006t85s/life-on-mars?seriesId=b006t860,Sci-Fi,Sci-fi & Fantasy,,,31/10/2021,11,10,yes,BBC One,1,0,Life on Mars -- Take a look at the lawman...,b006t85s,,b006t85s,b006t860,no,0,1,"DRAMA > CRIME,DRAMA > SCIFI & FANTASY"
DEVS,,A conspiracy that could change the world,https://www.bbc.co.uk/iplayer/episodes/p087gj19/devs?seriesId=p087gjmw,Sci-fi,Sci-fi & Fantasy,,,31/10/2021,12,10,yes,BBC Two,1,0,DEVS -- A conspiracy that could change the world,p087gj19,,p087gj19,p087gjmw,no,0,1,DRAMA > THRILLER